Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
0.2430238276720047,0.923345386981964,0.4093939065933227,0.871240496635437
0.1959230154752731,0.9356408715248108,0.2544942200183868,0.9241856336593628
0.1411562860012054,0.9526432156562804,0.1972192227840423,0.942250430583954
0.1410115510225296,0.9529314041137696,0.1685327738523483,0.9465744495391846
0.1282064914703369,0.9579263925552368,0.2073690444231033,0.937061607837677
0.110062725841999,0.9629855155944824,0.152626097202301,0.9498414397239684
0.0894257649779319,0.9689090847969056,0.1121946424245834,0.9617565274238586
0.0893312916159629,0.9698376655578612,0.1062730997800827,0.9668492078781128
0.0723855048418045,0.9741603136062622,0.0972627475857734,0.9708849787712096
0.0870085880160331,0.9697415828704834,0.095947116613388,0.9686749577522278
0.0783727467060089,0.9729435443878174,0.1168922632932663,0.9657922387123108
0.0903126969933509,0.9707982540130616,0.1309505105018615,0.9598347544670104
0.0736114606261253,0.9740962386131288,0.1302763968706131,0.96146821975708
0.0610230602324008,0.9774582982063292,0.1037849262356758,0.9668492078781128
0.0778985023498535,0.9733598232269288,0.1042514145374298,0.9664648771286012
0.0709137618541717,0.9757612347602844,0.1094191372394561,0.9652157425880432
0.0583931542932987,0.9804360866546632,0.0966916531324386,0.9675218462944032
0.0627777948975563,0.9781947135925292,0.0984992831945419,0.970692813396454
0.0574394389986991,0.9799237847328186,0.0914630889892578,0.970500648021698
0.0509370081126689,0.9822932481765748,0.0888323560357093,0.9742481112480164
0.0571986101567745,0.9806922674179076,0.10405895113945,0.9689632058143616
0.0525196567177772,0.9812045693397522,0.0817814916372299,0.974728524684906
0.0536301285028457,0.982133150100708,0.0994310155510902,0.971749782562256
0.0633239075541496,0.9791553020477296,0.1747660040855407,0.9548380970954896
0.049820601940155,0.9830617308616638,0.0921656489372253,0.972518503665924
0.0578359887003898,0.980724275112152,0.1082120910286903,0.970692813396454
0.0591978095471859,0.9792513847351074,0.0888672396540641,0.972422420978546
0.0489580705761909,0.9830296635627748,0.1057580485939979,0.969635844230652
0.0441879667341709,0.985142946243286,0.1176787465810775,0.9690592885017396
0.0286204665899276,0.9901700019836426,0.0723062306642532,0.9798212647438048
0.0285773482173681,0.9894335865974426,0.0594946146011352,0.981839120388031
0.0252088587731122,0.9912266731262208,0.0599664822220802,0.9820313453674316
0.0257085114717483,0.9906182885169984,0.056469403207302,0.983760952949524
0.0285288374871015,0.989273488521576,0.0561438798904418,0.9835687279701232
0.0236055441200733,0.991546869277954,0.0580379888415336,0.9828000664711
0.0236470885574817,0.9918350577354432,0.0567727722227573,0.9828961491584778
0.0235688593238592,0.9916108846664428,0.055836547166109,0.9832804799079896
